0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LHR,LHR,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,CDG,0,0,0,0,0,94055.35899,43780.92218,21479.30407,0,0,0,5144.637345,8972.710188,6403.261348,0,0,0,8736.453295000001,432644.5277,122598.5233,0,0,0,73939.3694,3351.0249949999998,49431.0989,0,0,0,0
LHR,AMS,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,FRA,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,MAD,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,BCN,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,MUC,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,FCO,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,DUB,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,ARN,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,LIS,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,TXL,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,HEL,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,WAW,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,EDI,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,OTP,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,HER,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,KEF,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,PMO,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
LHR,FNC,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
CDG,LHR,0,0,0,0,0,81473.05187000001,124040.3068,5241.38562,0,0,0,23437.956009999998,5738.26037,27030.10175,0,0,0,21499.72775,29302.325389999998,27959.67864,0,0,0,10750.82885,58023.60335,64784.08188,0,0,0,0
CDG,CDG,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0
CDG,AMS,0,0,0,0,0,0.0,0.0,441477.159507,0,0,0,0.0,139136.3548,28377.73075,0,0,0,12616.58217,4010.3011119999996,3099.110655,0,0,0,76809.58694,14491.82575,47397.58015,0,0,0,0
CDG,FRA,0,0,0,0,0,37471.60291,180428.0667,4222.079256,0,0,0,36752.63756,5961.1538740000005,33913.340339999995,0,0,0,3848.706001,7628.828323000001,58784.31174,0,0,0,24489.522409999998,10488.91387,78403.81127,0,0,0,0
CDG,MAD,0,0,0,0,0,0.0,0.0,0.0,0,0,0,13514.826830000002,100124.35699999999,570.3933666,0,0,0,0.0,112033.19419999997,17720.232359999998,0,0,0,11567.54006,20202.74623,4575.226568,0,0,0,0
CDG,BCN,0,0,0,0,0,8141.511183,6754.350675,2494.613975,0,0,0,25993.44454,23227.11597,3078.879239,0,0,0,13656.224409999999,13161.23891,7336.735487000001,0,0,0,11876.453520000001,1661.876677,11126.42375,0,0,0,0
