Aircraft;Type;Total profit;Utilization [h/day];;;;;
Aircraft 4;Type 1;5327.26;03:54;;;;;
Departure Day;Departure Time;Arrival Time;Origin;Destination;Cargo;Load factor;Profit;
2;00:48;02:24;CDG;EDI;23000;1;352.86;01:36
2;03:54;05:30;EDI;CDG;23000;1;352.86;01:36
3;00:24;02:18;CDG;MAD;23000;1;601.49;01:54
3;03:54;05:48;MAD;CDG;23000;1;601.49;01:54
4;01:06;03:00;CDG;MAD;23000;1;601.49;01:54
4;04:30;06:24;MAD;CDG;23000;1;601.49;01:54
4;07:54;10:18;CDG;PMO;23000;1;1138.3;02:24
5;07:54;10:18;PMO;CDG;22842.21;0.99;1077.28;02:24
